,BTC,CGB,CSI300,DBC,GLD,QQQ,SPY,STAR50,TLT
2023-02-28,0.06,0.11155645453115093,0.21192921384539992,0.06,0.11155645453115093,0.06,0.21340142256114733,0.06,0.11155645453115093
2023-03-31,0.06222970000736239,0.1127442871256762,0.20946526109983524,0.05941002315987708,0.1094138768059731,0.06196207740602264,0.21561233355325737,0.05915274493436353,0.11000969590763239
2023-04-30,0.072875317877445,0.10879431388623105,0.20026714575379276,0.05651358962417569,0.1124132877118533,0.06459037183173369,0.2128853093696354,0.06185640447390044,0.10980425947123272
2023-05-31,0.059999999999999984,0.10959718636766179,0.21088504780805728,0.05606440602946903,0.11483010118347295,0.059999999999999984,0.21697895038619314,0.059999999999999984,0.11164430822514566
2023-06-30,0.05759726757860641,0.11292286617253205,0.1994258732446533,0.054139013904765255,0.11838052418467536,0.06,0.2255900002845879,0.05869461854625738,0.11324983608392226
2023-07-31,0.06,0.11030045431110545,0.196779373458275,0.05471075335514903,0.11494871313806432,0.06,0.23633213830778918,0.05417935788454963,0.1127492095450674
2023-08-31,0.056088224550960936,0.10945177914041164,0.20489456807052053,0.05796158009930674,0.1147407348605049,0.060000000000000005,0.23790164819143636,0.0517167774930617,0.10724468759379727
2023-09-30,0.05158550804003103,0.11243517913998827,0.19659124515796284,0.05984127067202888,0.11766914820586583,0.060000000000000005,0.24264389387707616,0.05129190743487714,0.10794184747216994
2023-10-31,0.05515566817018593,0.11562136373622062,0.20151009670408995,0.06,0.11584167697850739,0.05857689142752618,0.2379932390021527,0.05249730632572936,0.1028037576555879
2023-11-30,0.06,0.11697705781898056,0.19377471914347172,0.05982408951295982,0.12644675939260672,0.05824982881274957,0.23648284748688833,0.049391668258989975,0.09885302957335325
2023-12-31,0.060000000000000005,0.11528424210527372,0.1857876303894028,0.05565488879255729,0.12447554643827866,0.060000000000000005,0.24644963735031442,0.047800824739765456,0.10454723018440773
2024-01-31,0.06,0.11416937596099065,0.18252592062741213,0.049899002466467446,0.1240097746695821,0.06,0.25098605702952015,0.046755947317824065,0.1116539219282035
2024-02-29,0.060000000000000005,0.11910573379420454,0.16883473943320593,0.05195698275443422,0.12662013248979473,0.060000000000000005,0.26227919967615926,0.037969365160470336,0.11323384669173105
2024-03-31,0.08123089229966331,0.11219385733315444,0.1723663667371777,0.04824970935269058,0.11994839739171705,0.059569630882027255,0.26023856480244434,0.04182689853737729,0.10437568266374803
2024-04-30,0.0915051627914114,0.10805019590201878,0.16600035096010207,0.04869097237714064,0.12592599474384392,0.05828344651364244,0.25963602597222374,0.04028210356933639,0.10162574717028064
2024-05-31,0.0800077209517896,0.11125652211883658,0.17466522517646982,0.05082226850979323,0.13322142763792771,0.0572516572871292,0.25595076852792137,0.0391706880635717,0.09765372172656082
2024-06-30,0.08672085500043922,0.1088805762344813,0.16929172490278244,0.04899728121287739,0.1303831583765185,0.05917441101159256,0.2618209136769196,0.03690197480349318,0.0978291047808958
2024-07-31,0.0798723129245631,0.10751019280702775,0.16716099982549976,0.048807778581085204,0.13045175113810395,0.062435145316297964,0.2686149029825575,0.036437522313802914,0.09870939411106196
2024-08-31,0.08112408288243121,0.1080525591699771,0.16256978995641122,0.04680180769598859,0.13559827940455949,0.06055891374248913,0.2681983704373165,0.036184262004401786,0.10091193470642495
2024-09-30,0.07333559199295756,0.10899563807766224,0.16398869332262872,0.04539966406738596,0.13714253566276105,0.060655669432920174,0.27190219815581096,0.036500076961017695,0.10207993232685567
2024-10-31,0.07374946095689604,0.10326550891029673,0.1872284377794245,0.04282483644776782,0.1349709832450418,0.05829374631176447,0.25998685513878045,0.04217033129575204,0.0975098399142762
2024-11-30,0.08237327426965516,0.10288122435377468,0.17425319061226283,0.04371255627104955,0.14165649466439953,0.05815192890594078,0.25928262300064203,0.044920117754420855,0.09276859016785452
2024-12-31,0.10000000000000003,0.09848040499453665,0.1655754249895118,0.04173509445027551,0.1330282490704772,0.06036403645394064,0.2645621282133493,0.04399260242888946,0.09226205939901946
2025-01-31,0.09858840460860996,0.10124929887317602,0.16900818787542377,0.040936044425671635,0.13321593830663322,0.06159136802755931,0.2622560273725818,0.04542191708278394,0.08773281342756034
2025-02-28,0.1,0.09968994408711125,0.1657605267509289,0.04110960909956217,0.1385892841293907,0.06183950509967273,0.26149866040437814,0.045253578647821806,0.0862588917811343
2025-03-31,0.08359586606627999,0.09994939367398384,0.1661669213717748,0.04178893486108459,0.14325012725732333,0.06107853936570955,0.26208704321128473,0.049529507488372274,0.09255366670418691
2025-04-30,0.08260274351773486,0.10122998729507024,0.16795478270895176,0.04315175439852687,0.15829766658057337,0.05699047434519983,0.24987567729335428,0.047574574588595354,0.09232233927199342
2025-05-31,0.09343083285229388,0.10096046686037177,0.1612853410799765,0.03911481814116737,0.1654652984447531,0.05729513143745321,0.2456027631398187,0.04655380150706615,0.09029154653709934
2025-06-30,0.1,0.09891641925247537,0.1579485432908783,0.038522573559395985,0.16035686456657064,0.06073086208401809,0.25305110431200245,0.045675678029206565,0.08479795490545267
2025-07-31,0.09952598794721454,0.09678026566634639,0.1588394544856487,0.03909281478515367,0.1564227700222329,0.06269924023761646,0.25771814836945395,0.04434327451925449,0.08457804396707906
2025-08-31,0.10000000000000002,0.0948832403226075,0.1620245554706394,0.03973865980393953,0.15281627186674263,0.06376110446453938,0.25841114286305256,0.045977286159659986,0.08238773904881906
2025-09-30,0.09264667402552255,0.09493154974013211,0.1621070496168433,0.03895254393279485,0.15896349900907428,0.06377781115652567,0.2612901054209065,0.04600069530869604,0.08133007178950478
2025-10-31,0.09030907051590341,0.08716895233866617,0.17140335360037898,0.03655712592623776,0.16436193461034318,0.06210587168345396,0.2496575821651762,0.06078483129624893,0.07765127786359148
2025-11-30,0.08589127854166156,0.08669716908074587,0.17021034505363147,0.03673952105012703,0.168443524838518,0.06439902179302202,0.25295447563816087,0.05702866971655987,0.07763599428757326
2025-12-31,0.07112664791116097,0.08760170166262465,0.17198619084544098,0.0371951331698351,0.1782837002316933,0.06367891516504653,0.25458789575955826,0.05762366365242632,0.07791615160221396
2026-01-31,0.06917365933081521,0.08848699016641753,0.17435079055539893,0.03616097610190422,0.18263786173497762,0.06333718489375585,0.2547088827172692,0.055663711512250656,0.07547994298721068
